Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,65.4326018393669,65.6236169458762,65.7406004286464,65.9429256145555,66.2972700468884,66.4603364268475,66.5359406062029,66.6273407918853,66.7354591836743,66.8403785234227,66.9365367769419,67.1061795286124,67.2879861916749,67.456364822593,67.6304887265793,67.5038868162436,67.2988437538283,67.0939353004792,66.7074833396819,65.9822584460594,66.116089187751,65.9131172404616,65.9821538853781,65.9033522371247,66.0538802362794,66.0855939483056,66.2379949730745,66.2002187110159,66.2487264489891,65.4525621952564,65.9937145262379,66.1956490920885
Afghanistan,16.101,16.17,16.19,16.204,16.278,16.112,15.951,15.834,15.757,15.697,15.828,16.01,16.205,16.391,16.566,16.356,16.165,16.011,15.924,15.938,16.283,16.719,17.72,18.757,19.832,20.946,22.1,20.631,19.117,17.071,15.322,5.342
Africa Western and Central,60.6237682368627,60.5251884710182,60.4432848525335,60.3666665593203,60.3122724165187,60.2424107862576,60.1870684331973,60.1441140977387,60.1234464981871,60.1120490051676,60.0706259717776,60.0476466793207,59.9572455389293,59.8879982895069,59.7735751577996,59.6327023994331,59.5477682558969,59.3324558683807,59.1100322656911,58.8785181334943,58.7318868833842,58.3060600559304,57.8719918831578,57.2692345468873,56.8818429630531,56.5950269351093,55.9902202426033,55.5322062750196,55.1766088388085,54.5159908652122,54.711000399491,55.0271786790973
Angola,76.136,76.117,76.062,76.082,76.137,76.166,76.194,76.226,76.261,76.302,76.317,76.363,76.387,76.431,76.482,76.492,76.511,76.525,76.514,76.517,75.873,75.652,75.428,75.199,74.968,74.736,74.502,74.266,74.029,74.139,75.83,73.801
Albania,58.279,58.999,58.301,57.737,56.861,56.325,57.271,56.738,55.996,55.671,55.3,55.221,54.76,54.315,53.875,53.433,52.991,52.551,53.28,54.496,60.651,56.199,50.702,51.298,55.422,58.861,58.353,60.386,62.31,59.49,61.224,63.446
Arab World,20.3240065774967,20.7204940571284,20.6789763493487,21.0941961842337,20.9361334714732,20.8854358798527,20.7562611698012,20.6618908908346,21.1808053036952,21.2624030260867,21.1608691071665,20.4892360222369,20.7356766993814,20.952667965968,21.1822390700254,21.4761504690551,22.0159237639724,21.6567896756608,21.8656946080475,21.9773945019274,22.0596063894335,22.0293416061275,22.3466174094088,22.4006209641271,22.6387317248072,22.8981613555875,22.1161888454652,21.2185645919222,20.7659980288654,20.3845926622842,21.0300670601706,21.218016837768
United Arab Emirates,30.219,30.731,31.425,31.656,31.893,32.433,32.787,33.172,33.619,34.148,34.774,35.501,36.32,37.213,37.979,38.782,39.444,40.212,41.225,42.553,44.069,45.585,47.107,48.639,50.177,51.709,53.886,54.39,58.401,62.876,54.588,55.981
Argentina,53.03,54.385,55.813,56.79,55.995,56.916,58.351,58.963,58.089,57.783,56.717,54.213,55.856,57.542,56.35,57.155,56.426,55.678,56.418,55.28,55.663,56.02,55.638,55.284,55.38,55.471,55.559,57.444,58.341,54.472,59.216,58.9
Armenia,64.004,64.095,64.13,64.122,64.094,64.07,64.075,64.082,64.045,63.971,63.885,63.768,63.645,63.535,63.421,63.314,63.228,63.022,63.591,63.682,63.768,63.867,64.093,64.364,64.711,65.092,65.529,65.924,68.622,69.189,70.141,68.552
Australia,61.591,61.734,61.605,62.747,63.99,64.268,64.022,64.104,64.11,65.194,65.862,66.102,66.983,66.699,68.168,68.881,69.428,69.95,70.167,69.97,70.448,70.379,70.448,70.535,71.238,71.62,72.354,73.229,73.85,73.23,74.756,75.299
Austria,55.979,57.604,58.208,61.895,62.935,62.321,62.212,62.936,63.142,62.934,62.762,64.268,64.423,64.524,65.796,66.895,67.987,68.745,69.674,69.776,70.208,70.977,71.552,71.722,71.799,72.614,72.76,72.929,73.302,73.281,73.743,74.674
Azerbaijan,71.934,73.62,75.792,77.95,79.391,79.539,79.319,78.819,78.56,77.981,76.324,74.849,72.389,70.316,68.819,66.788,61.452,60.828,62.701,64.609,62.95,64.026,64.215,65.269,66.065,67.336,68.071,68.915,72.186,71.284,72.56,74.64
Burundi,91.093,90.569,89.953,89.267,88.602,87.832,86.969,86.063,85.232,84.36,83.453,82.496,81.474,80.383,79.175,77.835,78.515,79.115,79.723,80.28,80.703,81.079,81.421,81.697,81.656,81.536,81.311,81.008,80.543,79.3,79.764,79.431
Belgium,48.319,49.574,50.525,51.499,52.061,52.287,53.079,54.056,56.008,56.613,54.471,55.424,55.831,57.618,59.426,59.485,60.339,60.761,60.912,61.805,61.092,61.347,62.306,62.943,62.942,62.829,64.164,65.29,65.876,65.362,66.515,67.814
Benin,58.106,58.09,58.822,59.584,60.388,61.2,62.026,62.876,63.752,64.655,65.587,66.548,67.009,67.473,67.942,68.415,68.89,69.367,69.845,70.325,70.808,69.003,67.14,65.218,63.252,61.25,59.209,57.135,57.194,56.647,55.609,57.292
Burkina Faso,82.129,81.025,79.888,78.704,77.495,76.261,74.98,73.656,72.291,70.88,69.445,67.975,66.486,64.963,63.428,61.867,61.451,61.066,60.705,60.367,60.049,59.749,59.462,59.193,59.196,59.207,59.223,59.249,59.282,58.704,59.274,59.255
Bangladesh,26.488,26.658,26.874,27.124,27.404,27.63,27.893,28.184,28.484,28.776,28.988,29.215,29.448,29.674,29.899,30.027,30.503,30.99,31.477,31.948,32.417,32.891,33.37,33.855,34.353,34.866,38.48,38.824,39.122,38.833,40.309,39.544
Bulgaria,65.916,66.41,65.286,64.117,62.91,61.673,60.411,59.164,57.961,56.75,59.318,58.89,57.241,58.363,57.272,59.943,61.563,62.733,62.007,62.776,62.49,63.731,65.135,65.623,65.995,65.118,67.689,67.609,69.336,68.132,68.327,70.371
Bahrain,30.158,30.819,31.474,32.135,32.806,33.485,34.179,34.903,35.673,36.497,37.375,38.238,39.064,39.776,40.478,41.258,42.116,43.054,44.077,45.081,44.073,44.343,44.56,44.65,44.746,44.968,45.315,45.897,46.292,45.549,45.909,46.275
"Bahamas, The",69.374,69.957,70.542,71.103,71.562,71.941,72.691,72.032,73.385,73.771,74.003,74.187,73.841,73.724,73.934,74.08,74.05,73.553,72.844,72.804,72.708,72.946,72.501,72.512,72.415,72.48,72.724,72.973,73.039,68.041,70.623,71.816
Bosnia and Herzegovina,35.273,35.162,34.938,34.698,34.443,34.355,34.289,34.337,34.43,34.484,34.57,35.215,35.83,36.414,36.977,37.516,37.661,39.476,40.038,41.432,41.558,41.515,41.668,43.599,43.718,43.262,43.938,43.678,46.18,45.577,49.484,50.399
Belarus,64.46,64.553,64.649,64.949,65.37,65.497,65.528,65.738,66.078,67.014,67.85,68.551,69.139,69.636,70.109,70.541,70.905,71.215,71.464,71.729,72.139,72.655,73.201,73.762,74.261,74.714,74.857,74.595,75.338,75.346,75.96,76.34
Belize,34.947,35.872,36.235,36.008,37.378,38.782,40.216,41.165,41.2,41.729,42.248,42.756,43.267,43.784,44.302,44.824,45.35,45.881,46.419,46.943,47.452,47.973,48.504,49.521,50.45,51.389,50.665,51.047,51.28,49.757,51.002,52.586
Bolivia,58.432,58.357,58.746,59.223,59.704,60.118,60.632,61.454,62.271,60.704,60.836,60.953,61.078,61.21,61.35,64.924,61.818,63.623,64.297,63.992,63.692,59.31,60.191,62.619,55.798,58.363,60.368,64.973,62.281,61.372,59.709,60.805
Brazil,46.671,47.788,48.921,50.067,51.225,50.031,51.191,52.046,53.532,54.671,55.771,57.462,57.72,58.818,60.155,59.923,59.794,59.481,60.215,58.755,57.273,57.605,57.735,57.831,58.709,59.202,60.318,60.774,61.786,56.63,59.26,60.909
Barbados,70.603,70.044,71.015,72.019,74.021,72.585,73.895,73.4,72.78,74.069,75.336,74.143,75.372,75.656,75.584,73.498,72.502,73.196,73.522,73.829,74.105,71.689,72.757,71.653,71.927,73.107,71.903,70.693,71.189,69.853,71.125,71.923
Brunei Darussalam,48.093,49.129,50.175,51.229,52.289,53.352,54.413,55.465,56.51,57.546,58.57,58.628,58.688,58.757,58.835,58.913,58.983,59.039,59.079,59.116,59.192,59.244,59.329,59.443,59.579,59.742,59.935,61.074,58.546,58.481,59.349,59.779
Bhutan,59.278,59.198,59.144,59.086,59.02,59.463,60.018,60.651,61.346,62.104,62.991,63.94,64.915,65.858,66.738,67.196,67.642,68.076,68.496,65.95,64.652,65.793,60.868,56.561,58.027,57.848,57.629,57.383,63.25,65.796,67.62,67.809
Botswana,48.832,48.915,48.976,49.054,49.159,49.248,49.364,49.491,49.745,49.959,50.667,51.379,52.092,52.806,53.519,54.231,55.324,56.415,57.507,54.487,55.191,55.898,56.604,57.321,58.049,58.778,59.513,60.251,60.994,59.506,62.087,62.681
Central African Republic,63.876,63.846,63.844,63.861,63.896,63.869,63.867,63.87,63.878,63.881,63.85,63.833,63.805,63.808,63.804,63.766,63.737,63.713,63.717,63.734,63.677,63.64,63.517,63.506,63.513,63.579,63.657,63.742,63.827,63.224,63.399,63.762
Canada,69.195,68.638,68.538,68.487,68.54,68.602,69.025,69.834,70.54,71.174,71.607,72.945,74.069,74.185,73.731,74.045,74.838,74.808,74.836,74.842,74.691,74.814,75.156,74.678,74.573,74.844,75.389,75.492,75.915,74.209,76.13,76.788
Central Europe and the Baltics,63.0862571580566,62.983833760991,62.3809858853525,61.8189375272197,61.1002539459063,60.5693363451804,60.3743662974426,60.1291618424335,60.1226672791804,60.4623875548745,60.4995261620693,58.9302524851482,58.6464013686429,58.4934599165853,58.2451163983972,58.3446752994863,58.2630263965134,58.5176761155764,59.002071010144,59.621454710475,59.6813913038644,60.5313951167653,61.028929157214,62.0185210662326,62.4802989276534,62.8585216407363,63.9614314527456,64.4653081514891,64.8494643920722,64.869308316086,65.9878120525924,67.1039732587303
Switzerland,63.434,64.024,65.02,64.444,64.596,70.181,70.506,71.972,72.148,71.553,73.144,73.708,73.997,73.783,74.166,74.631,74.906,76.519,76.961,75.246,76.133,76.566,76.992,77.914,78.546,79.339,79.171,79.717,80.066,79.845,79.669,79.235
Channel Islands,56.608,56.943,56.656,56.647,57.194,58.351,59.152,59.616,60.561,60.628,62.179,64.476,65.393,65.386,64.743,64.071,63.191,63.863,65.031,64.947,63.495,63.988,64.223,64.393,64.615,65.035,65.201,65.337,65.655,64.914,65.497,65.449
Chile,34.734,36.37,37.32,38.033,39.402,40.444,41.354,41.806,42.205,41.855,40.889,40.695,42.178,43.795,44.91,46.141,47.221,49.527,50.21,51.244,53.347,53.836,53.981,54.78,54.802,54.732,55.408,56.224,56.337,52.601,54.163,58.229
China,78.861,78.609,78.383,78.148,77.901,77.635,77.347,77.078,76.81,76.514,75.926,75.308,74.664,73.995,73.309,72.64,71.979,71.306,70.632,69.971,70.088,69.899,69.771,69.814,69.898,69.961,69.969,69.992,70.107,69.06,71.021,70.909
Cote d'Ivoire,48.538,48.588,48.651,48.722,48.813,48.846,48.872,48.905,49.348,49.786,50.222,50.651,51.077,51.502,51.923,52.343,52.762,53.183,53.607,54.032,54.458,54.882,55.304,55.727,56.156,56.591,57.033,57.481,57.935,57.393,58.251,58.029
Cameroon,78.822,78.784,78.738,78.739,78.756,78.766,78.789,78.82,78.856,78.893,78.913,78.934,78.957,78.989,79.007,79.009,79.022,76.64,74.082,71.353,70.447,69.537,68.619,67.693,67.722,67.752,67.788,67.833,67.884,67.233,67.331,67.836
"Congo, Dem. Rep.",72.488,72.415,72.338,72.297,72.303,72.273,72.251,72.252,72.245,72.224,72.178,72.155,72.147,72.147,72.149,70.964,69.751,68.513,67.249,65.958,64.641,63.303,63.304,63.318,63.336,63.328,63.342,63.379,63.427,62.823,63.308,63.511
